"","module","domain","process","subprocess","model","parameter","path","unit","default","version","note"
"1","birds","water","birds","birds","pclake","cBirdsPerha","parameters/cBirdsPerha","coot*ha^-1","0","1.0.0","Number_of_birds_per_ha_vegetated_lake_(Default_=_0)"
"2","birds","water","birds","birds","pclake","cYearStartBirds","parameters/cYearStartBirds","y","0","1.0.0","First_year_of_birds_presence"
"3","birds","water","birds","birds","pclake","fDissEgesBird","parameters/fDissEgesBird","-","0.25","1.0.0","Fraction_dissolved_nutrient_of_coot_egestion"
"4","birds","water","birds","birds","pclake","fDAssBird","parameters/fDAssBird","-","0.5","1.0.0","Birds_assim_efficiency"
"5","birds","water","birds","birds","pclake","hDVegBird","parameters/hDVegBird","gDW*m^-2","5","1.0.0","Half-sat_vegetation_biomass_for_birds_grazing"
"6","birds","water","birds","birds","pclake","cDGrazPerBird","parameters/cDGrazPerBird","gDW*coot^-1*d^-1","45","1.0.0","Daily_grazing_of_birds"
"7","birds","water","birds","birds","pclake","cDayStartBirds","parameters/cDayStartBirds","d","46","1.0.0","Yearly_first_day_of_birds_presence"
"8","birds","water","birds","birds","pclake","cDayEndBirds","parameters/cDayEndBirds","d","288","1.0.0","Yearly_last_day_of_birds_presence"
"9","carbon","sediment","sediment_characteristics","active_layer_depth","wet","cDepthS","abiotic_sediment/parameters/cDepthS","m","0.1","1","sediment depth"
"10","carbon","water","water_atmosphere_exchange","alkalinity","aed2","ionic","aed2_carbon/ionic","-","0.3","1.0.0","Ionic strength"
"11","carbon","sediment","exchange","bottom_pelagic","wet","hypsograph","bot_pel_interface/parameters/hypsograph","","TRUE","2.3",""
"12","carbon","sediment","decomposition","mineralisation","pclake","cThetaMinS","parameters/cThetaMinS","-","1.07","1.0.0","Expon_temp_constant_of_sediment_mineralization"
"13","carbon","sediment","burial","burial","selmaprotbas","fl_burialrate","selmaprotbas/parameters/fl_burialrate","d-1","0.001","1.0.0","sediment burial rate"
"14","carbon","water","water_atmosphere_exchange","co2","aed2","atm_co2","aed2_carbon/atm_co2","-","4.00E-04","1.0.0","Atmospheric CO2 concentration"
"15","carbon","water","water_atmosphere_exchange","dic","wet","tDDepoIM","abiotic_water/parameters/tDDepoIM","g/m2/d","0","1","inorganic matter deposition"
"16","carbon","sediment","decomposition","mineralisation_poc","pclake","kDMinDetS","parameters/kDMinDetS","d^-1","0.002","1.0.0","Decomposition_constant_of_sediment_detritus"
"17","phytoplankton","water","stoichiometry","carbon_ratio","wet","cCPerDW","{group_name}/parameters/cCPerDW","gC/gDW","0.4","1","C content of organic matter DW"
"18","macrophytes","sediment","stoichiometry","uptake_nutrients","wet","cAffNUptVeg","{group_name}/parameters/cAffNUptVeg","l/mgDW/d","0.2","1","N uptake affinity"
"19","carbon","sediment","dredging","dredging","pclake","fEffDred","parameters/fEffDred","-","0.95","1.0.0","Dredging_efficiency_(<10)"
"20","carbon","sediment","dredging","dredging","pclake","cLengDred","parameters/cLengDred","d","10","1.0.0","Length_of_dredging_period"
"21","carbon","sediment","dredging","dredging","pclake","cDredInterval","parameters/cDredInterval","y","9999000","1.0.0","Dredging_interval"
"22","carbon","sediment","dredging","dredging","pclake","cDredStart","parameters/cDredStart","y","9999000","1.0.0","First_dredging_year_(should_be_n_times_cDredInterval_)"
"23","carbon","sediment","erosion","erosion","pclake","fSedErosIM","parameters/fSedErosIM","-","0.95","1.0.0","Instantly_sedimenting_fraction_of_IM"
"24","carbon","sediment","initial_conditions","initial_dom","pclake","sDIMS0","initialstates/sDIMS0","gDW*m^-2","","1.0.0","Inorganic_matter_in_lake_sediment"
"25","phytoplankton","water","stoichiometry","chlorophyll_ratio","wet","cChDMax","{group_name}/parameters/cChDMax","mgChl/mgDW","0.015","1","maximum chlorophyll/C ratio"
"26","carbon","sediment","initial_conditions","initial_humus","pclake","sDHumS0","initialstates/sDHumS0","gDW*m^-2","","1.0.0","Humus_DW_in_lake_sediment"
"27","macrophytes","sediment","stoichiometry","uptake_nutrients","wet","cAffPUptVeg","{group_name}/parameters/cAffPUptVeg","l/mgDW/d","0.2","1","P uptake affinity"
"28","phytoplankton","water","stoichiometry","chlorophyll_ratio","wet","cChDMin","{group_name}/parameters/cChDMin","mgChl/mgDW","0.005","1","minimum chlorophyll/C ratio"
"29","carbon","sediment","initial_conditions","initial_inorganic","mylake","In.FIM","In.FIM","-","0.92","1.0.0","Initial profile of volume fraction of inorganic matter in the sediment solids (dry weight basis)"
"30","carbon","sediment","initial_conditions","initial_pom","pclake","fDDetS0","initialstates/fDDetS0","gDW*gDW^-1","0.05","1.0.0","Initial_detritus_fraction_of_sediment_organic_matter"
"31","carbon","sediment","initial_conditions","initial_pom","pclake","fDOrgS0","initialstates/fDOrgS0","gDW*gDW^-1","0.08","1.0.0","Initial_organic_fraction_of_sediment_DW"
"32","carbon","sediment","initial_conditions","initial_pom","pclake","fDTotS0","initialstates/fDTotS0","gDW*gDW^-1","0.2","1.0.0","Initial_dry-weight_fraction_in_sediment"
"33","carbon","sediment","water_sediment_exchange","diffusion","wet","kDDifDOM1","sediment_exchange/parameters/kDDifDOM1","m2/d","0.002","1","DOM diffusion constant DW at 20*C"
"34","carbon","sediment","initial_conditions","initial_pom","pclake","bDTotS0","initialstates/bDTotS0","gDW*m^-2","","1.0.0","Total_dry-weight_in_top_layer"
"35","carbon","sediment","initial_conditions","initial_pom","pclake","sDDetS0","initialstates/sDDetS0","gDW*m^-2","","1.0.0","Detritus_DW_in_lake_sediment"
"36","phytoplankton","water","growth","nutrient_limitation","selmaprotbas","alpha","{group_name}/parameters/alpha","mmol m-3","1.65625","1.0.0","half-saturation for nutrient uptake"
"37","carbon","sediment","initial_conditions","initial_sediment","pclake","bPorS0","initialstates/bPorS0","m^3*m^-3","","1.0.0","Porosity"
"38","carbon","sediment","initial_conditions","initial_sediment","pclake","bRhoTotS0","initialstates/bRhoTotS0","gDW*m^-3","","1.0.0","Bulk_density_of_sediment"
"39","carbon","sediment","sediment_characteristics","active_layer_depth","mylake","H_sed","Bio.par/H_sed","m","0.03","1.0.0","height of active sediment layer"
"40","macrophytes","sediment","areal_coverage","areal_coverage","wet","cCovSpVeg","{group_name}/parameters/cCovSpVeg","l/gDW/m2","0.5","1","specific cover"
"41","carbon","sediment","sediment_characteristics","sediment_composition","pclake","fDOrgSoil","parameters/fDOrgSoil","-","0.165","1.0.0","Fraction_soil_organic_matter"
"42","carbon","sediment","sediment_characteristics","sediment_composition","pclake","fLutumRef","parameters/fLutumRef","-","0.2","1.0.0","Reference_lutum_fraction_(of_sandy_clay_soils)"
"43","carbon","sediment","sediment_characteristics","sediment_composition","pclake","cCPerDW","parameters/cCPerDW","gC*gDW^-1","0.4","1.0.0","C_content_of_organic_matter"
"44","carbon","sediment","sediment_characteristics","sediment_composition","pclake","cRhoOM","parameters/cRhoOM","gDW*m^-3","1400000","1.0.0","Density_of_sediment_detritus"
"45","carbon","sediment","sediment_characteristics","sediment_composition","pclake","cRhoIM","parameters/cRhoIM","gDW*m^-3","2500000","1.0.0","Density_of_sediment_IM"
"46","macrophytes","sediment","stoichiometry","carbon_ratio","wet","cCPerDW","{group_name}/parameters/cCPerDW","gC/gDW","0.4","1","C content of organic matter DW"
"47","phytoplankton","water","respiration","composition","aed2","f_pr","phyto_data/pd%f_pr","?","0.005","1.0.0","fraction"
"48","carbon","sediment","vertical_movement","sedimentation","pclake","cVSetDet","parameters/cVSetDet","m*d^-1","0.25","1.0.0","Max_sedimentation_velocity_of_detritus"
