metric_name,metric_short_name,domain,module,level,variable_global_name,unit_global,variable_model_name,depth_01,model,unit_model,conversion_factor,function_name
Surface_Mixed_Layer_Depth_meter,Surf_Mixed_Depth,Water,LER,Level1,Temp_degreeCelcius,degreeCelcius,temp,1,GLM,celcius,1,cal_epi_depth
Surface_Mixed_Layer_Depth_meter,Surf_Mixed_Depth,Water,LER,Level1,Temp_degreeCelcius,degreeCelcius,temp,1,SELMAPROTBAS,celcius,1,cal_epi_depth
Surface_Mixed_Layer_Depth_meter,Surf_Mixed_Depth,Water,LER,Level1,Temp_degreeCelcius,degreeCelcius,temp,1,WET,celcius,1,cal_epi_depth
Bottom_Surface_Difference_degC,But_Surf_Dif,Water,LER,Level1,Temp_degreeCelcius,degreeCelcius,temp,1,GLM,celcius,1,cal_bot_surf_temp_dif
Bottom_Surface_Difference_degC,But_Surf_Dif,Water,LER,Level1,Temp_degreeCelcius,degreeCelcius,temp,1,SELMAPROTBAS,celcius,1,cal_bot_surf_temp_dif
Bottom_Surface_Difference_degC,But_Surf_Dif,Water,LER,Level1,Temp_degreeCelcius,degreeCelcius,temp,1,WET,celcius,1,cal_bot_surf_temp_dif
Cyano_C_miligramsPerCubicMeter,Cyano_C,Water,Phytoplankton,Level1,Cyano_C_miligramsPerCubicMeter,miligramsPerCubicMeter,cyanobacteria_sDW,1,WET,gDW/m3,450,
Cyano_C_miligramsPerCubicMeter,Cyano_C,Water,Phytoplankton,Level1,Cyano_C_miligramsPerCubicMeter,miligramsPerCubicMeter,PHY_cyano,1,GLM,mmol C/m3,12.01,
Cyano_C_miligramsPerCubicMeter,Cyano_C,Water,Phytoplankton,Level1,Cyano_C_miligramsPerCubicMeter,miligramsPerCubicMeter,cyanobacteria_c,1,SELMAPROTBAS,mmol C/m3,12.01,
Cyano_Chla_miligramsPerCubicMeter,Cyano_Chla,Water,Phytoplankton,Level1,Cyano_Chla_miligramsPerCubicMeter,miligramsPerCubicMeter,cyanobacteria_chla,1,SELMAPROTBAS,mg chl a/m3,1,
Cyano_Chla_miligramsPerCubicMeter,Cyano_Chla,Water,Phytoplankton,Level1,Cyano_Chla_miligramsPerCubicMeter,miligramsPerCubicMeter,cyanobacteria_oChla,1,WET,mg/m3,1,
Cyano_Chla_miligramsPerCubicMeter,Cyano_Chla,Water,Phytoplankton,Level1,Cyano_Chla_miligramsPerCubicMeter,miligramsPerCubicMeter,PHY_cyano,1,GLM,mmol C/m3,0.242,
Cyano_GPP_miligramsPerCubicMeterPerDay,Cyano_GPP,Water,Phytoplankton,Level3,Cyano_GPP_miligramsPerCubicMeterPerDay,miligramsPerCubicMeterPerDay,cyanobacteria_GPP,1,SELMAPROTBAS,mmol/m3/d,12.01,
Cyano_GPP_miligramsPerCubicMeterPerDay,Cyano_GPP,Water,Phytoplankton,Level3,Cyano_GPP_miligramsPerCubicMeterPerDay,miligramsPerCubicMeterPerDay,PHY_cyano_gpp_c,1,GLM,mmol C/m3/d,12.01,
Cyano_GPP_miligramsPerCubicMeterPerDay,Cyano_GPP,Water,Phytoplankton,Level3,Cyano_GPP_miligramsPerCubicMeterPerDay,miligramsPerCubicMeterPerDay,cyanobacteria_wO2Prod,1,WET,g/m3/s,32427000,
Cyano_NPP_miligramsPerCubicMeterPerDay,Cyano_NPP,Water,Phytoplankton,Level3,Cyano_NPP_miligramsPerCubicMeterPerDay,miligramsPerCubicMeterPerDay,cyanobacteria_NPP,1,SELMAPROTBAS,mmol/m3/d,12.01,
