"include","module","domain","process","subprocess","model_coupled","parameter","default","lower","upper","initial","log","unit","path","note"
FALSE,"carbon","sediment","sediment_characteristics","active_layer_depth","GOTM-WET","cDepthS",0.1,0.08,0.12,0.1,FALSE,"m","abiotic_sediment/parameters/cDepthS","sediment depth"
FALSE,"carbon","water","water_atmosphere_exchange","alkalinity","GLM-AED2","ionic",0.3,0.24,0.36,0.3,FALSE,"-","aed2_carbon/ionic","Ionic strength"
FALSE,"carbon","water","water_atmosphere_exchange","alkalinity","SIMSTRAT-AED2","ionic",0.3,0.24,0.36,0.3,FALSE,"-","aed2_carbon/ionic","Ionic strength"
FALSE,"carbon","sediment","burial","burial","GOTM-Selmaprotbas","fl_burialrate",0.001,8e-04,0.0012,0.001,FALSE,"d-1","selmaprotbas/parameters/fl_burialrate","sediment burial rate"
FALSE,"carbon","water","water_atmosphere_exchange","co2","GLM-AED2","atm_co2",4e-04,0.00032,0.00048,4e-04,FALSE,"-","aed2_carbon/atm_co2","Atmospheric CO2 concentration"
FALSE,"carbon","water","water_atmosphere_exchange","co2","SIMSTRAT-AED2","atm_co2",4e-04,0.00032,0.00048,4e-04,FALSE,"-","aed2_carbon/atm_co2","Atmospheric CO2 concentration"
FALSE,"carbon","water","water_atmosphere_exchange","dic","GOTM-WET","tDDepoIM",0,0,0,0,FALSE,"g/m2/d","abiotic_water/parameters/tDDepoIM","inorganic matter deposition"
FALSE,"phytoplankton","water","stoichiometry","carbon_ratio","GOTM-WET","cCPerDW",0.4,0.32,0.48,0.4,FALSE,"gC/gDW","{group_name}/parameters/cCPerDW","C content of organic matter DW"
FALSE,"macrophytes","sediment","stoichiometry","uptake_nutrients","GOTM-WET","cAffNUptVeg",0.2,0.16,0.24,0.2,FALSE,"l/mgDW/d","{group_name}/parameters/cAffNUptVeg","N uptake affinity"
FALSE,"phytoplankton","water","stoichiometry","chlorophyll_ratio","GOTM-WET","cChDMax",0.015,0.012,0.018,0.015,FALSE,"mgChl/mgDW","{group_name}/parameters/cChDMax","maximum chlorophyll/C ratio"
FALSE,"macrophytes","sediment","stoichiometry","uptake_nutrients","GOTM-WET","cAffPUptVeg",0.2,0.16,0.24,0.2,FALSE,"l/mgDW/d","{group_name}/parameters/cAffPUptVeg","P uptake affinity"
